No;Order
1;1193.582375
2;1297.137931
3;1223.804598
4;767.704023
5;838.704023
6;891.704023
7;1051.204023
8;1301.131226
9;1404.686782
10;1331.353448
11;875.2528736
12;946.2528736
13;999.2528736
14;1158.752874
15;1408.680077
16;1512.235632
17;1438.902299
18;982.8017241
19;1053.801724
20;1106.801724
21;1266.301724
22;1516.228927
23;1619.784483
24;1546.451149
25;1090.350575
26;1161.350575
27;1214.350575
28;1373.850575
29;1623.777778
30;1727.333333
31;1654
32;1197.899425
33;1268.899425
34;1321.899425
35;1481.399425
36;1731.326628
37;1834.882184
38;1761.548851
39;1305.448276
40;1376.448276
41;1429.448276
42;1588.948276
43;1838.875479
44;1942.431034
45;1869.097701
46;1412.997126
47;1483.997126
48;1536.997126
49;1696.497126
50;1946.42433
51;2049.979885
52;1976.646552
53;1520.545977
54;1591.545977
55;1644.545977
56;1804.045977
57;2053.97318
58;2157.528736
59;2084.195402
60;1628.094828
61;1699.094828
62;1752.094828
63;1911.594828
64;2161.522031
65;2265.077586
66;2191.744253
67;1735.643678
68;1806.643678
69;1859.643678
70;2019.143678
71;2269.070881
72;2372.626437
73;2299.293103
74;1843.192529
75;1914.192529
76;1967.192529
77;2126.692529
78;2376.619732
79;2480.175287
80;2406.841954
81;1950.741379
82;2021.741379
83;2074.741379
84;2234.241379
85;2484.168582
86;2587.724138
87;2514.390805
88;2058.29023
89;2129.29023
90;2182.29023
91;2341.79023
60;1610.329013
61;1708.782493
62;1755.098904
63;1923.12084
64;2282.986174
65;2318.521474
66;2227.067936
67;1735.387145
68;1833.840624
69;1880.157035
70;2048.178971
71;2408.044305
72;2443.579606
73;2352.126068
74;1860.445276
75;1958.898755
76;2005.215166
77;2173.237103
78;2533.102436
79;2568.637737
80;2477.184199
81;1985.503407
82;2083.956887
83;2130.273297
84;2298.295234
85;2658.160567
86;2693.695868
87;2602.24233
88;2110.561538
89;2209.015018
90;2255.331429
91;2423.353365
